t,bf,pos_err,rot_err,pd_x,pd_y,pd_z,pd_ref_x,pd_ref_y,pd_ref_z,p_x,p_y,p_z,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,q_servo0,q_servo1,q_servo2,q_servo3,q_servo4,q_servo5,dq_des0,dq_des1,dq_des2,dq_des3,dq_des4,dq_des5,tau0,tau1,tau2,tau3,tau4,tau5,tau_lim0,tau_lim1,tau_lim2,tau_lim3,tau_lim4,tau_lim5
7.348,1.0,0.012253190911855762,0.00027166272604592996,-0.32484878186108074,-0.02362928559633871,0.224,-0.32484878186108074,-0.02362928559633871,0.224,-0.33354167156265646,-0.023807496682894398,0.23263380547425364,-0.2710207274706736,-1.4828376213566206,1.2657204363150738,-1.3538977832570742,-1.5706339700043581,2.8705719437746926,-0.15980462842268225,-0.1538964432140717,0.21806173343270394,-0.0639826956852664,-9.518898875098565e-05,-0.15980465274855915,-0.2710207274706736,-1.4828376213566206,1.2657204363150738,-1.3538977832570742,-1.5706339700043581,2.8705719437746926,nan,nan,nan,nan,nan,nan,-0.021895490573361272,-7.21684598411706,-6.226716603237485,-0.9630826469761263,-0.00012162789465215495,-1.6659655303988837e-12,28.0,28.0,14.0,6.0,6.0,6.0
7.352,1.0,0.012195272667161507,0.00027079010942128375,-0.3247734506502157,-0.023452681017654152,0.224,-0.3247734506502157,-0.023452681017654152,0.224,-0.3334248745940092,-0.02363067510493608,0.23259336123272292,-0.2716604135879178,-1.4834516192194835,1.2665908927180922,-1.3541534651585232,-1.57063438556896,2.8699322575526565,-0.1599988630848043,-0.15327988650128668,0.21737505040566618,-0.06391236590832923,-9.583497458156136e-05,-0.1599988874357527,-0.2716604135879178,-1.4834516192194835,1.2665908927180922,-1.3541534651585232,-1.57063438556896,2.8699322575526565,nan,nan,nan,nan,nan,nan,-0.02181315523393553,-7.20992050923351,-6.2270286792465805,-0.963085859919004,-0.0001184813359036097,-1.6548837997807057e-12,28.0,28.0,14.0,6.0,6.0,6.0
7.356,1.0,0.012137226993297638,0.00026991560046584373,-0.32469868495873344,-0.02327583628372096,0.224,-0.32469868495873344,-0.02327583628372096,0.224,-0.3333085514209727,-0.023453604944922875,0.2325528285901411,-0.2723008709401947,-1.4840631466073233,1.2674586000263004,-1.3544088678254351,-1.5706348035947162,2.8692918000955405,-0.16019079204354042,-0.15266155247797036,0.21668728326772732,-0.06384273082664253,-9.648057113247576e-05,-0.16019081641858945,-0.2723008709401947,-1.4840631466073233,1.2674586000263004,-1.3544088678254351,-1.5706348035947162,2.8692918000955405,nan,nan,nan,nan,nan,nan,-0.021730510312239423,-7.203023604244963,-6.227340177913197,-0.9630890664075801,-0.00011533127928759897,-1.6436453179398583e-12,28.0,28.0,14.0,6.0,6.0,6.0
7.36,1.0,0.01207905447194835,0.00026903919640777155,-0.32462448555223394,-0.023098753205427557,0.224,-0.32462448555223394,-0.023098753205427557,0.224,-0.3331927032480223,-0.023276288002285525,0.23251220793036562,-0.27294209028199906,-1.4846721964246137,1.2683235539149589,-1.3546639940346965,-1.5706352240794939,2.868650580648854,-0.16038040607730153,-0.15204144647123988,0.2159984367023678,-0.06377378979476421,-9.712575740918552e-05,-0.16038043047547543,-0.27294209028199906,-1.4846721964246137,1.2683235539149589,-1.3546639940346965,-1.5706352240794939,2.868650580648854,nan,nan,nan,nan,nan,nan,-0.021647555757452676,-7.196155365649071,-6.227651103304017,-0.9630922663980968,-0.00011217777067432037,-1.632386989834533e-12,28.0,28.0,14.0,6.0,6.0,6.0
7.364,1.0,0.012020755686134555,0.0002681609001950467,-0.3245508531905185,-0.022921433596103224,0.224,-0.3245508531905185,-0.022921433596103224,0.224,-0.3330773312749709,-0.023098726079445527,0.23247149963798852,-0.2735840623310677,-1.4852787615972798,1.269185750078051,-1.354918846560456,-1.5706356470210763,2.8680086084948635,-0.16056769601601667,-0.15141957386594326,0.21530851538909446,-0.06370554210562274,-9.777051232044062e-05,-0.1605677204363379,-0.2735840623310677,-1.4852787615972798,1.269185750078051,-1.354918846560456,-1.5706356470210763,2.8680086084948635,nan,nan,nan,nan,nan,nan,-0.021564291531699913,-7.189315889593598,-6.22796145946581,-0.9630954598471558,-0.000109020856131392,-1.6210530338964109e-12,28.0,28.0,14.0,6.0,6.0,6.0
7.368,1.0,0.01196233122020837,0.00026728073305076457,-0.3244777886275819,-0.022743879271499106,0.224,-0.3244777886275819,-0.022743879271499106,0.224,-0.33296243669695685,-0.02292092098179964,0.23243070409833236,-0.2742267777685871,-1.4858828350729307,1.270045184228267,-1.3551734281738788,-1.570636072417164,2.8673658929523866,-0.16075265274192016,-0.15079594010479758,0.21461752400342973,-0.0636379869903657,-9.841481468066058e-05,-0.16075267718340816,-0.2742267777685871,-1.4858828350729307,1.270045184228267,-1.3551734281738788,-1.570636072417164,2.8673658929523866,nan,nan,nan,nan,nan,nan,-0.02148071761035274,-7.182505271872889,-6.228271250425129,-0.9630986467117238,-0.00010586058192313096,-1.6096542566796126e-12,28.0,28.0,14.0,6.0,6.0,6.0
7.372,1.0,0.011903781659847852,0.0002663986780975587,-0.3244052926116046,-0.022566092049770035,0.224,-0.3244052926116046,-0.022566092049770035,0.224,-0.332848020704432,-0.02274287451770437,0.23238982169744654,-0.2748702272394051,-1.4864844098210899,1.2709018520969877,-1.3554277416428981,-1.5706365002653737,2.8667224433765797,-0.16093526719033796,-0.15017055068851679,0.21392546721689476,-0.06357112361821632,-9.905864320987192e-05,-0.16093529165200934,-0.2748702272394051,-1.4864844098210899,1.2709018520969877,-1.3554277416428981,-1.5706365002653737,2.8667224433765797,nan,nan,nan,nan,nan,nan,-0.021396833981986947,-7.175723607925418,-6.228580480188126,-0.9631018269491267,-0.00010269699451119678,-1.5981598382547117e-12,28.0,28.0,14.0,6.0,6.0,6.0
7.376,1.0,0.011845107592051462,0.00026551474997239615,-0.32433336588494516,-0.022388073751455562,0.224,-0.32433336588494516,-0.022388073751455562,0.224,-0.33273408448314784,-0.0225645884984608,0.23234885282210535,-0.2755144013522445,-1.487083478833428,1.2717557494342695,-1.3556817897319666,-1.570636930563238,2.866078269158723,-0.1611155303504747,-0.14954341117594377,0.21323234969700258,-0.06350495109633307,-9.970197653632483e-05,-0.16111555483134257,-0.2755144013522445,-1.487083478833428,1.2717557494342695,-1.3556817897319666,-1.570636930563238,2.866078269158723,nan,nan,nan,nan,nan,nan,-0.021312640648652455,-7.1689709928303245,-6.228889152740303,-0.9631050005170592,-9.953014055196998e-05,-1.5865930518153494e-12,28.0,28.0,14.0,6.0,6.0,6.0
7.38,1.0,0.011786309605133063,0.0002646289542379543,-0.32426200918413267,-0.0222098261994615,0.224,-0.32426200918413267,-0.0222098261994615,0.224,-0.33262062921414465,-0.022386064738298225,0.23230779785980396,-0.2761592906799211,-1.487680035123996,1.272606872008828,-1.355935575201809,-1.5706373633082051,2.8654333797260056,-0.16129343326619938,-0.14891452718417145,0.21253817610724207,-0.06343946846967145,-0.00010034479319662528,-0.16129345776527398,-0.2761592906799211,-1.487680035123996,1.272606872008828,-1.355935575201809,-1.5706373633082051,2.8654333797260056,nan,nan,nan,nan,nan,nan,-0.021228137625950112,-7.162247521304578,-6.229197272046288,-0.963108167373585,-9.636006689785152e-05,-1.574966636572962e-12,28.0,28.0,14.0,6.0,6.0,6.0
7.384,1.0,0.011727388288715957,0.0002637412931242749,-0.32419122323985905,-0.022031351219041182,0.224,-0.32419122323985905,-0.022031351219041182,0.224,-0.33250765607373756,-0.022207305054359416,0.23226665719875553,-0.27680488575956425,-1.4882740717294576,1.27345521560802,-1.3561891008091722,-1.570637798497639,2.864787784541302,-0.16146896703683136,-0.14828390438866312,0.21184295110706694,-0.0633746747208527,-0.00010098707163811592,-0.16146899155312033,-0.27680488575956425,-1.4882740717294576,1.27345521560802,-1.3561891008091722,-1.570637798497639,2.864787784541302,nan,nan,nan,nan,nan,nan,-0.021143324943204613,-7.155553287699767,-6.229504842049574,-0.9631113274771378,-9.318682059454507e-05,-1.5633209811027199e-12,28.0,28.0,14.0,6.0,6.0,6.0
7.388,1.0,0.011668344233727796,0.00026285177560979523,-0.32412100877697175,-0.021852650637776944,0.224,-0.32412100877697175,-0.021852650637776944,0.224,-0.3323951662335051,-0.0220283112666836,0.23222543122788794,-0.27745117709284023,-1.4888655817093241,1.2743007760378309,-1.3564423693065757,-1.570638236128818,2.864141493102949,-0.16164212281792528,-0.1476515485233661,0.2111466793518824,-0.06331056877003614,-0.0001016287902193711,-0.1616421473504345,-0.27745117709284023,-1.4888655817093241,1.2743007760378309,-1.3564423693065757,-1.570638236128818,2.864141493102949,nan,nan,nan,nan,nan,nan,-0.02105820264352312,-7.148888385999423,-6.229811866672365,-0.9631144807865264,-9.001044888191229e-05,-1.5515569796335663e-12,28.0,28.0,14.0,6.0,6.0,6.0
